VISAKHAPATNA,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
VISAKHAPATNA,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,129999,123499,110499,103999,90999,77999,65000,58500,52000,45500,39000,32500,22750,19338,12570,10685,7480
EAST KAMENG,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
EAST KAMENG,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,129999,123499,110499,103999,90999,77999,65000,58500,52000,45500,39000,32500,22750,19338,12570,10685,7480
GUWAHATI,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
GUWAHATI,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,129999,123499,110499,103999,90999,77999,65000,58500,52000,45500,39000,32500,22750,19338,12570,10685,7480
PATNA,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
PATNA,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,129999,123499,110499,103999,90999,77999,65000,58500,52000,45500,39000,32500,22750,19338,12570,10685,7480
CHANDIGARH,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
CHANDIGARH,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,129999,123499,110499,103999,90999,77999,65000,58500,52000,45500,39000,32500,22750,19338,12570,10685,7480
RAIPUR,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
RAIPUR,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,129999,123499,110499,103999,90999,77999,65000,58500,52000,45500,39000,32500,22750,19338,12570,10685,7480
DELHI,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
DELHI,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,129999,123499,110499,103999,90999,77999,65000,58500,52000,45500,39000,32500,22750,19338,12570,10685,7480
PANAJI,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
PANAJI,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,129999,123499,110499,103999,90999,77999,65000,58500,52000,45500,39000,32500,22750,19338,12570,10685,7480
VADODARA,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
VADODARA,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,109999,104499,93499,87999,76999,65999,55000,49500,44000,38500,33000,27500,19250,16363,10636,9041,6329
FARIDABAD,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
FARIDABAD,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,129999,123499,110499,103999,90999,77999,65000,58500,52000,45500,39000,32500,22750,19338,12570,10685,7480
HIMACHAL PRA,AMPERE,MOT-PRD-002,AMPERE MAGNUS EX,AMPERE MAGNUS EX ,PRTL_14093,1.2,2,BATTERY,71999,68399,61199,57599,50399,43199,36000,32400,28800,25200,21600,18000,12600,10710,6962,5918,4143
HIMACHAL PRA,OLA,MOT-PRD-002,OLA S1 PRO,OLA S1 PRO ,PRTL_14091,8.5,2,BATTERY,129999,123499,110499,103999,90999,77999,65000,58500,52000,45500,39000,32500,22750,19338,12570,10685,7480
