VISAKHAPATNA,BAJAJ,MOT-PRD-002,PULSAR 125,PULSAR 125 CARBON DISC SPLIT SEAT - NEW,PRTL_14565,125,2,PETROL,90931,86384,77291,72745,63652,54559,45466,40919,36372,31826,27279,22733,15913,13526,8792,7473,5231
VISAKHAPATNA,BAJAJ,MOT-PRD-002,PULSAR 125,PULSAR 125 CARBON DISC SINGLE SEAT-NEW,PRTL_14564,125,2,PETROL,93785,89096,79717,75028,65650,56271,46893,42203,37514,32825,28136,23446,16412,13950,9068,7708,5396
VISAKHAPATNA,KINETIC GREEN VEHICLES,MOT-PRD-002,ZING HSS,ZING HSS,PRTL_14553,2.5,1,BATTERY,99000,94050,84150,79200,69300,59400,49500,44550,39600,34650,29700,24750,17325,14726,9572,8136,5695
VISAKHAPATNA,BAJAJ,MOT-PRD-002,BAJAJ CHETAK,BAJAJ CHETAK,PRTL_14558,4,2,BATTERY,150000,142500,127500,120000,105000,90000,75000,67500,60000,52500,45000,37500,26250,22313,14503,12328,8630
VISAKHAPATNA,ROYAL ENFIELD,MOT-PRD-002,CONTINENTAL GT 650,ROYAL ENFIELD CONTINENTAL GT 650 ROCKER RED,PRTL_14563,648,2,PETROL,305000,289750,259250,244000,213500,183000,152500,137250,122000,106750,91500,76250,53375,45369,29490,25067,17547
EAST KAMENG,BAJAJ,MOT-PRD-002,PULSAR 125,PULSAR 125 CARBON DISC SPLIT SEAT - NEW,PRTL_14565,125,2,PETROL,91795,87205,78026,73436,64257,55077,45898,41308,36718,32128,27539,22949,16064,13654,8875,7544,5281
EAST KAMENG,BAJAJ,MOT-PRD-002,PULSAR 125,PULSAR 125 CARBON DISC SINGLE SEAT-NEW,PRTL_14564,125,2,PETROL,94649,89917,80452,75719,66254,56789,47325,42592,37860,33127,28395,23662,16563,14079,9151,7778,5445
EAST KAMENG,KINETIC GREEN VEHICLES,MOT-PRD-002,ZING HSS,ZING HSS,PRTL_14553,2.5,1,BATTERY,99000,94050,84150,79200,69300,59400,49500,44550,39600,34650,29700,24750,17325,14726,9572,8136,5695
EAST KAMENG,BAJAJ,MOT-PRD-002,BAJAJ CHETAK,BAJAJ CHETAK,PRTL_14558,4,2,BATTERY,150000,142500,127500,120000,105000,90000,75000,67500,60000,52500,45000,37500,26250,22313,14503,12328,8630
EAST KAMENG,ROYAL ENFIELD,MOT-PRD-002,CONTINENTAL GT 650,ROYAL ENFIELD CONTINENTAL GT 650 ROCKER RED,PRTL_14563,648,2,PETROL,305000,289750,259250,244000,213500,183000,152500,137250,122000,106750,91500,76250,53375,45369,29490,25067,17547
